"(6478329153, 86)","[2, 0, 1, 4]"
"(6258399539, 0)","[2, 0, 1]"
"(6258397652, 1)","[2, 0, 1]"
"(6478241454, 3)","[2, 0, 1]"
"(6258398523, 161)","[2, 0, 1]"
"(6478329153, 2615)","[2, 0, 1, 4]"
"(4665712499, 1078)","[2, 0, 1]"
"(6478329153, 893)","[2, 0, 1, 4]"
"(6478329153, 207)","[2, 0, 1, 4]"
"(6478171654, 1562)","[2, 0, 1]"
"(6454369144, 1234)","[2, 0, 1]"
"(6476563684, 371)","[2, 0, 1, 4]"
"(6478329153, 2456)","[2, 0, 1, 4]"
"(4974896506, 0)","[2, 0, 1]"
"(6127631099, 6)","[2, 0, 1]"
"(5966089485, 123)","[2, 0, 1]"
"(6127579059, 0)","[2, 0, 1]"
"(5776956949, 1)","[2, 0, 1]"
"(6127580099, 0)","[2, 0, 1]"
"(6318432124, 9)","[2, 0, 1]"
"(5402488769, 3563)","[2, 0, 1]"
"(5912313637, 10)","[2, 0, 1]"
"(6476563684, 801)","[2, 0, 1, 4]"
"(6114773114, 179)","[2, 0, 1]"
"(6478329153, 2159)","[2, 0, 1, 5]"
"(5402488769, 1500)","[2, 0, 1]"
"(4665617026, 334)","[2, 0, 1]"
"(5402488769, 2737)","[2, 0, 1]"
"(6114773114, 447)","[2, 0, 1]"
"(5921809619, 347)","[2, 0, 1]"
"(6478305041, 67)","[2, 0, 1, 4]"
"(5921809619, 423)","[2, 0, 1]"
"(6476563684, 911)","[2, 0, 1, 4]"
"(6478329153, 4237)","[2, 0, 1, 4]"
"(5402488769, 3359)","[2, 0, 1]"
"(6114773114, 537)","[2, 0, 1]"
"(6463732938, 324)","[2, 0, 1]"
"(4665896876, 164)","[2, 0, 1]"
"(6478329153, 3468)","[2, 0, 1, 4]"
"(6472335926, 8)","[2, 0, 1]"
"(6478329153, 320)","[2, 0, 1, 4]"
"(4297554814, 0)","[2, 0, 1]"
"(5966089485, 61)","[2, 0, 1]"
"(6478297145, 187)","[2, 0, 1, 4]"
"(6454369144, 1087)","[2, 0, 1]"
"(6478297145, 52)","[2, 0, 1, 4]"
"(6478171654, 1350)","[2, 0, 1]"
"(6478329153, 2683)","[2, 0, 1, 4]"
"(6478450561, 0)","[2, 0, 1, 4]"
"(5402488769, 1486)","[2, 0, 1]"
"(6456065202, 19)","[2, 0, 1]"
"(6454369144, 704)","[2, 0, 1]"
"(6478329153, 15)","[2, 0, 1, 4]"
"(4665617026, 297)","[2, 0, 1, 3, 0, 1]"
"(6454369144, 251)","[2, 0, 1]"
"(5499403765, 29)","[2, 0, 1]"
"(6478329153, 3807)","[2, 0, 1, 4]"
"(6477844821, 185)","[2, 0, 1]"
"(6478329153, 4557)","[2, 0, 1, 4]"
"(6478329153, 85)","[2, 0, 1, 4]"
"(6478329153, 584)","[2, 0, 1, 5]"
"(6478329153, 388)","[2, 0, 1, 4]"
"(6478329153, 196)","[2, 0, 1, 4]"
"(6476851864, 45)","[2, 0, 1]"
"(6476851368, 117)","[2, 0, 1]"
"(6478329153, 3672)","[2, 0, 1, 4]"
"(6478445101, 194)","[2, 0, 1]"
"(6478171654, 234)","[2, 0, 1]"
"(6468012371, 261)","[2, 0, 1]"
"(6478329153, 3148)","[2, 0, 1, 5]"
"(6464224372, 92)","[2, 0, 1]"
"(6478329153, 3932)","[2, 0, 1, 4]"
"(6235196851, 51)","[2, 0, 1]"
"(6478329153, 2436)","[2, 0, 1, 4]"
"(6478329153, 1466)","[2, 0, 1, 4]"
"(6476563684, 811)","[2, 0, 1, 4]"
"(6478329153, 740)","[2, 0, 1, 4]"
"(6478329153, 1328)","[2, 0, 1, 4]"
"(6289001879, 8)","[2, 0, 1]"
"(5402488769, 1150)","[2, 0, 1]"
"(6478452722, 46)","[2, 0, 1]"
"(6478329153, 1726)","[2, 0, 1, 4]"
"(5402488769, 671)","[2, 0, 1]"
"(6478329153, 2603)","[2, 0, 1, 4]"
"(6468012371, 618)","[2, 0, 1]"
"(6478367355, 114)","[2, 0, 1, 4]"
"(6478329153, 1180)","[2, 0, 1, 4]"
"(6478171654, 1791)","[2, 0, 1]"
"(6477888005, 1599)","[2, 0, 1]"
"(6478329153, 4941)","[2, 0, 1, 5]"
"(6478329153, 2065)","[2, 0, 1, 4]"
"(6478329153, 4553)","[2, 0, 1, 4]"
"(6477888005, 1348)","[2, 0, 1]"
"(6477888005, 255)","[2, 0, 1]"
"(6478329153, 2222)","[2, 0, 1, 4]"
"(6475986179, 468)","[2, 0]"
"(5402488769, 3259)","[2, 0, 1]"
"(5402488769, 1631)","[2, 0, 1]"
"(6111395793, 0)","[2, 0, 1]"
"(4665892165, 842)","[2, 0, 1]"
"(6478453304, 27)","[2, 0, 1]"
"(6478571951, 1006)","[2, 0, 1, 5]"
"(6478523487, 263)","[2, 0, 1, 5]"
"(6326289960, 55)","[2, 0, 1]"
"(6454369144, 699)","[2, 0, 1]"
"(5402488769, 780)","[2, 0, 1]"
"(6478171654, 837)","[2, 0, 1]"
"(6478453304, 522)","[2, 0, 1]"
"(6478453304, 538)","[2, 0, 1]"
"(6238835298, 188)","[2, 0, 1]"
"(6468011807, 188)","[2, 0, 1]"
"(6238843128, 36)","[2, 0, 1]"
"(6238844615, 19)","[2, 0, 1]"
"(6238835525, 179)","[2, 0, 1]"
"(6238842343, 194)","[2, 0, 1]"
"(6238839290, 104)","[2, 0, 1]"
"(6238838528, 61)","[2, 0, 1]"
"(6454369144, 548)","[2, 0, 1]"
"(6476563684, 216)","[2, 0, 1, 4]"
"(3310414834, 2)","[2, 0, 1]"
"(6478169653, 830)","[2, 0, 1]"
"(6476563684, 485)","[2, 0, 1, 4]"
"(6468012371, 444)","[2, 0, 1]"
"(5402488769, 2446)","[2, 0, 1]"
"(6478329153, 138)","[2, 0, 1, 4]"
"(6478329153, 4042)","[2, 0, 1, 4]"
"(6114773114, 1144)","[2, 0, 1]"
"(6464224372, 148)","[2, 0, 1]"
"(6478617508, 346)","[2, 0, 1]"
"(6476563684, 301)","[2, 0, 1, 4]"
"(5484770275, 2)","[2, 0, 1]"
"(5402488769, 902)","[2, 0, 1]"
"(4751986813, 18)","[2, 0, 1]"
"(6114773114, 1055)","[2, 0, 1]"
"(4665903885, 291)","[2, 0, 1]"
"(6111532948, 65)","[2, 0, 1]"
"(5402488769, 301)","[2, 0, 1]"
"(6478329153, 4231)","[2, 0, 1, 4]"
"(6127637704, 2)","[2, 0, 1]"
"(5402488769, 3537)","[2, 0, 1]"
"(6440288949, 17)","[2, 0, 1]"
"(6440288532, 44)","[2, 0, 1]"
"(4857081234, 456)","[2, 0, 1]"
"(5402488769, 417)","[2, 0, 1]"
"(4857080139, 361)","[2, 0, 1]"
"(6369733678, 0)","[2, 0, 1]"
"(6454369144, 246)","[2, 0, 1]"
"(6402619165, 52)","[2, 0, 1]"
"(6478717969, 352)","[2, 0, 1]"
"(6477888005, 2120)","[2, 0, 1]"
"(6477888005, 501)","[2, 0, 1]"
"(6478171654, 189)","[2, 0, 1]"
"(5402488769, 1385)","[2, 0, 1]"
"(6456065202, 35)","[2, 0, 1]"
"(4857081234, 449)","[2, 0, 1]"
"(6444610017, 199)","[2, 0, 1]"
"(4857080139, 306)","[2, 0, 1]"
"(6114773114, 472)","[2, 0, 1]"
"(6127645196, 37)","[2, 0, 1]"
"(5402488769, 980)","[2, 0, 1]"
"(6454369144, 396)","[2, 0, 1]"
"(4665891113, 93)","[2, 0, 1]"
"(6261947650, 917)","[2, 0, 1]"
"(6440287059, 1)","[2, 0, 1]"
"(5921809619, 469)","[2, 0, 1]"
"(6454369144, 1114)","[2, 0, 1]"
"(6478715666, 94)","[2, 0, 1]"
"(6478715666, 18)","[2, 0, 1]"
"(6478721457, 942)","[2, 0, 1]"
"(6454369144, 1178)","[2, 0, 1]"
